,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT PRESENT,ZIP CODE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,NEIGHBORHOOD
13473,2B,2,C7,10038,9,8,1,2160,10818,9800000,SOUTHBRIDGE              
13474,2,2,D5,10038,13,12,1,3480,31073,20500000,SOUTHBRIDGE              
13480,2C,2,D0,10038,5,5,0,2627,15765,7200000,SOUTHBRIDGE              
13547,4,4,K4,10038,4,0,4,2734,12960,21000000,SOUTHBRIDGE              
13550,4,4,K4,10038,1,0,1,1880,7517,52000000,SOUTHBRIDGE              
13551,4,4,L9,10038,4,3,1,1640,6560,7100000,SOUTHBRIDGE              
13557,1,1,C0,10013,3,3,0,2279,6400,11165111,TRIBECA                  
13936,2A,2,S5,10013,6,5,1,1434,6545,4000000,TRIBECA                  
13937,2A,2,S3,10013,4,3,1,1525,6000,6300000,TRIBECA                  
13938,2A,2,S4,10013,5,4,1,1613,7100,8500000,TRIBECA                  
13976,4,4,O9,10013,7,0,7,1405,8430,8925000,TRIBECA                  
14015,1,1,A4,10065,1,1,0,1807,5775,5118500,UPPER EAST SIDE (59-79)  
14016,1,1,A4,10065,1,1,0,1648,3840,8500000,UPPER EAST SIDE (59-79)  
14017,1,1,A4,10065,1,1,0,1607,4725,10500000,UPPER EAST SIDE (59-79)  
14018,1,1,A4,10065,1,1,0,1506,3964,6750000,UPPER EAST SIDE (59-79)  
14020,1,1,A4,10021,1,1,0,1992,6480,31000000,UPPER EAST SIDE (59-79)  
14021,1,1,A4,10021,1,1,0,4017,9408,37000000,UPPER EAST SIDE (59-79)  
14023,1,1,A4,10021,1,1,0,3615,7678,26050000,UPPER EAST SIDE (59-79)  
14025,1,1,A4,10021,1,1,0,2054,7290,14750000,UPPER EAST SIDE (59-79)  
14028,1,1,S1,10075,2,1,1,1771,4450,8950000,UPPER EAST SIDE (59-79)  
14029,1,1,A4,10065,1,1,0,2008,4000,7530000,UPPER EAST SIDE (59-79)  
14030,1,1,A4,10065,1,1,0,1808,4439,10875000,UPPER EAST SIDE (59-79)  
14031,1,1,A4,10065,1,1,0,1808,4750,5900000,UPPER EAST SIDE (59-79)  
14032,1,1,A4,10065,1,1,0,1900,3360,7200000,UPPER EAST SIDE (59-79)  
14033,1,1,A4,10065,1,1,0,2008,4369,13888000,UPPER EAST SIDE (59-79)  
14034,1,1,A4,10065,1,1,0,1121,3068,5250000,UPPER EAST SIDE (59-79)  
14035,1,1,A1,10021,1,1,0,1289,3898,7250000,UPPER EAST SIDE (59-79)  
14036,1,1,A4,10021,1,1,0,1289,3024,4600000,UPPER EAST SIDE (59-79)  
14037,1,1,S1,10075,2,1,1,1040,4500,6000000,UPPER EAST SIDE (59-79)  
14038,1,1,B9,10065,2,2,0,1707,7130,10000000,UPPER EAST SIDE (59-79)  
14039,1,1,S2,10021,3,2,1,1737,7286,18300000,UPPER EAST SIDE (59-79)  
14040,1,1,B3,10021,2,2,0,1737,8116,30000000,UPPER EAST SIDE (59-79)  
14041,1,1,B1,10065,2,2,0,2008,4000,8250000,UPPER EAST SIDE (59-79)  
14042,1,1,B1,10065,2,2,0,2092,5380,12475000,UPPER EAST SIDE (59-79)  
14043,1,1,B1,10065,2,2,0,1607,3456,8500000,UPPER EAST SIDE (59-79)  
14045,1,1,B1,10021,2,2,0,1632,3520,7300000,UPPER EAST SIDE (59-79)  
14046,1,1,B3,10021,2,2,0,1703,2880,7400000,UPPER EAST SIDE (59-79)  
14047,1,1,S2,10021,3,2,1,1533,4200,7825000,UPPER EAST SIDE (59-79)  
14048,1,1,B3,10021,2,2,0,1839,5400,9280000,UPPER EAST SIDE (59-79)  
14049,1,1,B1,10075,2,2,0,1916,3857,8700000,UPPER EAST SIDE (59-79)  
14050,1,1,B3,10065,2,2,0,2008,4000,6404300,UPPER EAST SIDE (59-79)  
14051,1,1,B3,10065,2,2,0,1121,3068,4585000,UPPER EAST SIDE (59-79)  
14055,1,1,B9,10021,2,2,0,1289,2268,4600000,UPPER EAST SIDE (59-79)  
14060,2A,2,C5,10065,6,6,0,2510,6559,22250000,UPPER EAST SIDE (59-79)  
14061,2,2,C7,10065,14,10,4,2008,8960,16940000,UPPER EAST SIDE (59-79)  
14062,2B,2,C5,10065,9,8,1,2008,6630,14000000,UPPER EAST SIDE (59-79)  
14063,2A,2,C5,10065,5,5,0,2510,9444,22500000,UPPER EAST SIDE (59-79)  
14065,2A,2,C5,10021,5,5,0,1839,6611,14118625,UPPER EAST SIDE (59-79)  
14066,2,2,C5,10021,19,18,1,2554,13176,17900000,UPPER EAST SIDE (59-79)  
14067,2B,2,C5,10021,10,10,0,2145,9495,29700000,UPPER EAST SIDE (59-79)  
14068,2A,2,C3,10065,4,4,0,2008,4032,185000000,UPPER EAST SIDE (59-79)  
14070,2B,2,C7,10021,10,9,1,2554,11076,10100000,UPPER EAST SIDE (59-79)  
14071,2,2,C7,10065,16,12,4,3840,14039,7750000,UPPER EAST SIDE (59-79)  
14072,2,2,C7,10021,17,16,1,1916,9580,10000000,UPPER EAST SIDE (59-79)  
14073,2,2,C7,10021,18,16,2,2840,11100,15000000,UPPER EAST SIDE (59-79)  
14074,2,2,C7,10021,12,10,2,2554,7951,7425000,UPPER EAST SIDE (59-79)  
14075,2B,2,C7,10021,10,9,1,2000,4320,5900000,UPPER EAST SIDE (59-79)  
14081,2,2,C5,10021,19,19,0,2812,8624,7400000,UPPER EAST SIDE (59-79)  
14082,2,2,C7,10021,19,17,2,2554,8395,12500000,UPPER EAST SIDE (59-79)  
14084,2B,2,C7,10021,9,8,1,2377,8370,4700000,UPPER EAST SIDE (59-79)  
14085,2B,2,C4,10075,9,8,1,2225,8620,9600000,UPPER EAST SIDE (59-79)  
14086,2,2,C4,10075,16,16,0,2554,8016,15341667,UPPER EAST SIDE (59-79)  
14089,2,2,C7,10065,19,17,2,2510,8350,6983103,UPPER EAST SIDE (59-79)  
14090,2,2,C7,10021,24,22,2,3186,12612,9400000,UPPER EAST SIDE (59-79)  
14092,2,2,C7,10021,24,22,2,2550,11036,7500000,UPPER EAST SIDE (59-79)  
14094,2B,2,C7,10075,9,8,1,1875,7500,7000000,UPPER EAST SIDE (59-79)  
14097,2,2,D2,10065,31,30,1,5724,43801,120000000,UPPER EAST SIDE (59-79)  
14101,2,2,D9,10021,31,28,3,6068,26797,2567340,UPPER EAST SIDE (59-79)  
14102,2,2,D9,10021,31,28,3,6068,26797,24536100,UPPER EAST SIDE (59-79)  
14104,2,2,D1,10065,90,90,0,17574,70992,58000000,UPPER EAST SIDE (59-79)  
14105,2,2,D6,10021,52,51,1,5100,112541,7100000,UPPER EAST SIDE (59-79)  
14109,2,2,D9,10065,40,40,0,5020,19370,18250000,UPPER EAST SIDE (59-79)  
15596,4,2,K4,10065,4,2,2,1506,9350,19250000,UPPER EAST SIDE (59-79)  
15597,2B,2,S9,10021,7,5,2,1460,5353,12000000,UPPER EAST SIDE (59-79)  
15598,2A,2,S9,10021,5,3,2,1050,3500,7425000,UPPER EAST SIDE (59-79)  
15600,2A,2,S5,10065,6,5,1,1707,9453,10500000,UPPER EAST SIDE (59-79)  
15820,4,4,O1,10022,17,0,17,5020,38052,85000000,UPPER EAST SIDE (59-79)  
15821,4,4,O3,10022,33,0,33,9087,149881,145000000,UPPER EAST SIDE (59-79)  
15822,4,4,O9,10065,1,0,1,2510,10345,27000000,UPPER EAST SIDE (59-79)  
15823,4,4,O9,10065,1,0,1,1707,5774,11440000,UPPER EAST SIDE (59-79)  
15824,4,4,O9,10065,1,0,1,1707,5384,10670000,UPPER EAST SIDE (59-79)  
15825,4,4,O9,10021,3,0,3,3012,14280,50250000,UPPER EAST SIDE (59-79)  
15826,4,4,O9,10021,1,0,1,2043,9420,28000000,UPPER EAST SIDE (59-79)  
15827,4,4,O9,10022,1,0,1,12050,170511,45000000,UPPER EAST SIDE (59-79)  
15829,4,4,O7,10022,60,0,60,6025,49815,1500000,UPPER EAST SIDE (59-79)  
15830,4,4,O1,10065,1,0,1,3515,9860,22000000,UPPER EAST SIDE (59-79)  
15831,4,4,O7,10075,5,0,5,1503,4512,16000000,UPPER EAST SIDE (59-79)  
15832,4,4,O9,10021,1,0,1,2554,5000,6414687,UPPER EAST SIDE (59-79)  
15833,4,4,K4,10065,2,0,2,1512,6216,33000000,UPPER EAST SIDE (59-79)  
15834,4,4,K4,10065,4,1,3,1600,4500,9750000,UPPER EAST SIDE (59-79)  
15835,4,4,K4,10065,4,1,3,1600,4500,5000000,UPPER EAST SIDE (59-79)  
15836,4,4,K4,10065,3,2,1,2773,8650,9500000,UPPER EAST SIDE (59-79)  
15839,4,4,W6,10075,1,0,1,2554,9525,32015000,UPPER EAST SIDE (59-79)  
15840,4,4,Y6,10021,2,0,2,67965,168764,215000000,UPPER EAST SIDE (59-79)  
15841,4,4,Y6,10021,2,0,2,67965,168764,1,UPPER EAST SIDE (59-79)  
15842,4,4,Y6,10021,2,0,2,67965,168764,1,UPPER EAST SIDE (59-79)  
15906,1,1,S1,10075,2,1,1,2452,5760,15750000,UPPER EAST SIDE (79-96)  
15907,1,1,A4,10075,1,1,0,1706,7450,19850000,UPPER EAST SIDE (79-96)  
15908,1,1,A4,10028,1,1,0,1839,9000,14990000,UPPER EAST SIDE (79-96)  
15909,1,1,A4,10128,1,1,0,1913,5586,14000000,UPPER EAST SIDE (79-96)  
15913,1,1,A9,10128,1,1,0,1510,3300,10,UPPER EAST SIDE (79-96)  
15914,1,1,A9,10128,1,1,0,1510,3240,6665000,UPPER EAST SIDE (79-96)  
15915,1,1,S1,10128,2,1,1,1661,2880,4900000,UPPER EAST SIDE (79-96)  
15916,1,1,A4,10028,1,1,0,1533,4020,5250000,UPPER EAST SIDE (79-96)  
15917,1,1,A4,10028,1,1,0,2043,3760,5656703,UPPER EAST SIDE (79-96)  
15918,1,1,A9,10028,1,1,0,1831,2040,4650000,UPPER EAST SIDE (79-96)  
15919,1,1,A9,10128,1,1,0,2165,6298,8900000,UPPER EAST SIDE (79-96)  
15920,1,1,S1,10128,2,1,1,2150,5600,6500000,UPPER EAST SIDE (79-96)  
15923,1,1,B1,10028,2,2,0,2026,6150,22000000,UPPER EAST SIDE (79-96)  
15924,1,1,B3,10128,2,2,0,1510,3176,4500000,UPPER EAST SIDE (79-96)  
15925,1,1,B3,10128,2,2,0,1812,3808,5810000,UPPER EAST SIDE (79-96)  
15927,1,1,B9,10128,2,2,0,1216,3200,3900000,UPPER EAST SIDE (79-96)  
15928,1,1,B1,10028,2,2,0,1073,2304,3850000,UPPER EAST SIDE (79-96)  
15929,1,1,B1,10128,2,2,0,1888,2430,4250000,UPPER EAST SIDE (79-96)  
15930,1,1,C0,10028,3,3,0,1728,3768,5300000,UPPER EAST SIDE (79-96)  
15933,2,2,C5,10075,17,17,0,2043,7923,12750000,UPPER EAST SIDE (79-96)  
15935,2B,2,C5,10028,10,10,0,1839,5139,7200000,UPPER EAST SIDE (79-96)  
15936,2,2,C5,10075,16,16,0,2554,7604,9050000,UPPER EAST SIDE (79-96)  
15938,2B,2,C4,10028,10,10,0,2333,10785,9500000,UPPER EAST SIDE (79-96)  
15939,2,2,C7,10128,20,15,5,3550,15240,3580189,UPPER EAST SIDE (79-96)  
15942,2,2,C4,10128,14,14,0,2517,9855,13000000,UPPER EAST SIDE (79-96)  
15944,2B,2,C7,10128,10,9,1,2265,9830,2381000,UPPER EAST SIDE (79-96)  
15948,2,2,C7,10128,26,24,2,4530,19825,15000000,UPPER EAST SIDE (79-96)  
15950,2,2,C4,10128,15,15,0,1888,3616,200000,UPPER EAST SIDE (79-96)  
15951,2,2,C5,10028,20,20,0,2596,11080,8948046,UPPER EAST SIDE (79-96)  
15953,2A,2,C4,10128,5,5,0,2013,10000,5200000,UPPER EAST SIDE (79-96)  
15959,2,2,C1,10028,20,19,1,2554,8395,8252759,UPPER EAST SIDE (79-96)  
15960,2,2,C1,10028,20,20,0,2554,10075,10701379,UPPER EAST SIDE (79-96)  
15961,2,2,C7,10028,16,15,1,2554,9345,6400000,UPPER EAST SIDE (79-96)  
15962,2B,2,C5,10128,10,10,0,1007,3628,2500000,UPPER EAST SIDE (79-96)  
15964,2,2,C1,10128,20,20,0,2516,9760,6100000,UPPER EAST SIDE (79-96)  
15966,2,2,C4,10128,15,15,0,2517,8960,13300000,UPPER EAST SIDE (79-96)  
15967,2,2,C7,10128,42,40,2,5116,21640,14525000,UPPER EAST SIDE (79-96)  
15968,2,2,C1,10128,11,11,0,2517,8600,5900000,UPPER EAST SIDE (79-96)  
15969,2B,2,C4,10128,10,10,0,2517,8540,4750000,UPPER EAST SIDE (79-96)  
15972,2B,2,C4,10028,10,10,0,2043,8202,5560000,UPPER EAST SIDE (79-96)  
15973,2,2,C1,10128,20,20,0,2517,8590,6500000,UPPER EAST SIDE (79-96)  
15975,2,2,C1,10028,15,15,0,2554,9185,6000000,UPPER EAST SIDE (79-96)  
15978,2,2,C1,10128,20,20,0,2517,8420,8373678,UPPER EAST SIDE (79-96)  
15979,2B,2,D3,10128,8,8,0,3017,15624,36400000,UPPER EAST SIDE (79-96)  
15980,2,2,D6,10128,154,149,5,13877,128132,90000000,UPPER EAST SIDE (79-96)  
15981,2,2,D6,10028,233,230,3,11340,205261,218000000,UPPER EAST SIDE (79-96)  
15982,2,2,D9,10028,63,63,0,6640,25700,26500000,UPPER EAST SIDE (79-96)  
15985,2,2,D7,10028,15,14,1,2554,10606,12200000,UPPER EAST SIDE (79-96)  
15986,2,2,D6,10028,65,64,1,8173,34300,30750000,UPPER EAST SIDE (79-96)  
15987,2,2,D6,10028,698,695,3,62965,690703,395000000,UPPER EAST SIDE (79-96)  
15988,2,2,D6,10128,200,199,1,10070,209730,158500000,UPPER EAST SIDE (79-96)  
15990,2,2,D1,10128,26,26,0,3523,16243,4750000,UPPER EAST SIDE (79-96)  
15991,2,2,D1,10128,49,49,0,5136,21078,19250000,UPPER EAST SIDE (79-96)  
15992,2,2,D6,10028,43,40,3,7550,34792,32500000,UPPER EAST SIDE (79-96)  
15993,2,2,D7,10028,13,12,1,1657,9450,6100000,UPPER EAST SIDE (79-96)  
17357,2A,2,S3,10075,4,3,1,1394,6099,23000000,UPPER EAST SIDE (79-96)  
17358,2B,2,S9,10028,8,6,2,1653,5808,4000000,UPPER EAST SIDE (79-96)  
17360,2B,2,S9,10075,8,6,2,1875,6100,14750000,UPPER EAST SIDE (79-96)  
17391,4,4,O9,10028,7,0,7,2075,8600,10250000,UPPER EAST SIDE (79-96)  
17395,4,4,G1,10075,1,0,1,7662,43512,910000,UPPER EAST SIDE (79-96)  
17398,4,4,G1,10128,1,0,1,5035,14405,22000000,UPPER EAST SIDE (79-96)  
17400,4,4,I6,10075,1,0,1,21995,170000,105500000,UPPER EAST SIDE (79-96)  
17401,4,4,W8,10128,1,0,1,2573,13492,17750000,UPPER EAST SIDE (79-96)  
17403,4,4,P9,10028,2,0,2,7720,21000,85500000,UPPER EAST SIDE (79-96)  
17441,2,2,D1,10029,30,30,0,5046,20905,1708455,UPPER EAST SIDE (96-110) 
17443,2A,2,D6,10029,6,5,1,1900,9825,750000,UPPER EAST SIDE (96-110) 
17515,1,1,A4,10023,1,1,0,2000,5513,11100000,UPPER WEST SIDE (59-79)  
17516,1,1,A9,10023,1,1,0,1908,5529,11000000,UPPER WEST SIDE (59-79)  
17521,1,1,B3,10023,2,2,0,1707,5498,11900000,UPPER WEST SIDE (59-79)  
17522,1,1,B3,10023,2,2,0,1808,4836,5581875,UPPER WEST SIDE (59-79)  
17523,1,1,C0,10023,3,3,0,2043,5213,8725000,UPPER WEST SIDE (59-79)  
17528,2B,2,C5,10023,10,10,0,2146,6673,11350000,UPPER WEST SIDE (59-79)  
17530,2,2,C5,10023,11,11,0,2043,6465,9100000,UPPER WEST SIDE (59-79)  
17533,2B,2,C5,10023,8,8,0,2043,5018,6550000,UPPER WEST SIDE (59-79)  
17534,2B,2,C5,10023,10,10,0,2043,6035,6500000,UPPER WEST SIDE (59-79)  
17535,2B,2,C7,10024,8,7,1,963,5277,10000000,UPPER WEST SIDE (59-79)  
17536,2A,2,C2,10023,5,5,0,1506,4595,6000000,UPPER WEST SIDE (59-79)  
17537,2A,2,C5,10023,6,6,0,1839,5273,6500000,UPPER WEST SIDE (59-79)  
17539,2B,2,C1,10023,10,10,0,1700,5440,2725000,UPPER WEST SIDE (59-79)  
17540,2B,2,C1,10024,8,8,0,1941,3284,4865000,UPPER WEST SIDE (59-79)  
17542,2B,2,C1,10023,10,10,0,1635,4960,3600000,UPPER WEST SIDE (59-79)  
17544,2B,2,C1,10023,9,9,0,2200,5945,1257920,UPPER WEST SIDE (59-79)  
17547,2B,2,C1,10023,10,10,0,2300,6221,1257920,UPPER WEST SIDE (59-79)  
17548,2B,2,C1,10023,10,10,0,2043,6035,4500000,UPPER WEST SIDE (59-79)  
17549,2B,2,C1,10023,10,10,0,2043,5360,4000000,UPPER WEST SIDE (59-79)  
17550,2B,2,C1,10023,10,10,0,1450,5746,7000000,UPPER WEST SIDE (59-79)  
17552,2C,2,C6,10023,5,5,0,2008,4932,14000000,UPPER WEST SIDE (59-79)  
17783,2,2,D4,10024,31,31,0,5108,58723,13959,UPPER WEST SIDE (59-79)  
18690,2A,2,S4,10023,5,4,1,1377,4080,6650000,UPPER WEST SIDE (59-79)  
18737,2,2,R9,10023,508,508,0,120650,471630,56000,UPPER WEST SIDE (59-79)  
18934,4,4,O3,10023,5,0,5,22575,139761,300000000,UPPER WEST SIDE (59-79)  
18935,4,4,K2,10023,3,0,3,2687,5025,13250000,UPPER WEST SIDE (59-79)  
18936,4,4,K2,10023,3,0,3,2687,5025,825000,UPPER WEST SIDE (59-79)  
18937,4,4,G1,10024,1,0,1,7663,41850,63000000,UPPER WEST SIDE (59-79)  
18940,4,4,M1,10023,2,0,2,7500,10030,45000000,UPPER WEST SIDE (59-79)  
19082,1,1,A4,10024,1,1,0,2217,6252,25000000,UPPER WEST SIDE (79-96)  
19091,1,1,A4,10025,1,1,0,1812,3240,5771000,UPPER WEST SIDE (79-96)  
19092,1,1,A5,10024,1,1,0,1703,2976,6100000,UPPER WEST SIDE (79-96)  
19093,1,1,B1,10024,2,2,0,2350,7040,15000000,UPPER WEST SIDE (79-96)  
19094,1,1,B9,10024,2,2,0,1533,3600,1,UPPER WEST SIDE (79-96)  
19096,1,1,B9,10025,2,2,0,1300,2920,4400000,UPPER WEST SIDE (79-96)  
19097,1,1,B3,10024,2,2,0,1812,4812,6435000,UPPER WEST SIDE (79-96)  
19098,1,1,B9,10024,2,2,0,1711,3400,5400000,UPPER WEST SIDE (79-96)  
19100,1,1,C0,10024,3,3,0,2013,6340,8300000,UPPER WEST SIDE (79-96)  
19101,1,1,C0,10025,3,3,0,1762,3400,6100000,UPPER WEST SIDE (79-96)  
19102,1,1,C0,10025,3,3,0,1800,5448,5675000,UPPER WEST SIDE (79-96)  
19105,2B,2,C5,10024,10,10,0,2554,7520,12199999,UPPER WEST SIDE (79-96)  
19106,2A,2,C2,10024,5,5,0,1737,4865,6181500,UPPER WEST SIDE (79-96)  
19111,2B,2,C5,10024,10,10,0,2014,6366,10,UPPER WEST SIDE (79-96)  
19112,2B,2,C5,10024,7,7,0,2216,6498,15500000,UPPER WEST SIDE (79-96)  
19113,2A,2,C5,10024,6,6,0,2013,6420,8300000,UPPER WEST SIDE (79-96)  
19114,2B,2,C5,10024,10,10,0,2013,6410,6200000,UPPER WEST SIDE (79-96)  
19115,2B,2,C5,10024,10,10,0,2315,6783,5600000,UPPER WEST SIDE (79-96)  
19116,2B,2,C5,10024,10,10,0,2315,6783,5200000,UPPER WEST SIDE (79-96)  
19117,2B,2,C5,10024,10,10,0,2315,6956,5600000,UPPER WEST SIDE (79-96)  
19118,2B,2,C5,10024,10,10,0,2013,6570,6200000,UPPER WEST SIDE (79-96)  
19119,2B,2,C5,10024,7,7,0,2000,7170,8000000,UPPER WEST SIDE (79-96)  
19122,2B,2,C5,10024,10,10,0,1913,6270,5200000,UPPER WEST SIDE (79-96)  
19123,2B,2,C5,10024,10,10,0,2114,5570,3863437,UPPER WEST SIDE (79-96)  
19125,2A,2,C3,10024,4,4,0,1888,5210,6400000,UPPER WEST SIDE (79-96)  
19126,2A,2,C5,10024,4,4,0,1812,5096,5000000,UPPER WEST SIDE (79-96)  
19127,2A,2,C2,10025,6,6,0,1812,4216,5025000,UPPER WEST SIDE (79-96)  
19129,2A,2,C3,10024,4,4,0,1941,5225,10000000,UPPER WEST SIDE (79-96)  
19130,2A,2,C2,10024,5,5,0,1717,3984,4000000,UPPER WEST SIDE (79-96)  
19131,2B,2,C1,10025,8,8,0,2013,4496,4980000,UPPER WEST SIDE (79-96)  
19132,2B,2,C1,10025,7,7,0,1862,6597,5500000,UPPER WEST SIDE (79-96)  
19135,2B,2,C1,10024,8,8,0,1742,4148,4500000,UPPER WEST SIDE (79-96)  
19137,2B,2,C7,10025,9,8,1,2150,8550,267495,UPPER WEST SIDE (79-96)  
19139,2B,2,C5,10024,8,8,0,2086,7115,6988959,UPPER WEST SIDE (79-96)  
19142,2B,2,C1,10024,7,7,0,2014,5885,12500000,UPPER WEST SIDE (79-96)  
19143,2B,2,C5,10024,9,9,0,2013,5416,11900000,UPPER WEST SIDE (79-96)  
19145,2,2,D1,10024,29,29,0,6040,19290,1399050,UPPER WEST SIDE (79-96)  
19146,2,2,D3,10024,60,60,0,7662,49977,41500000,UPPER WEST SIDE (79-96)  
19149,2,2,D9,10024,38,35,3,10437,23952,39000000,UPPER WEST SIDE (79-96)  
19223,2C,2,C6,10024,9,9,0,2013,5116,300000,UPPER WEST SIDE (79-96)  
19918,2A,2,S5,10025,6,5,1,2050,4480,5100000,UPPER WEST SIDE (79-96)  
19979,4,4,O9,10024,1,0,1,2554,6150,8500000,UPPER WEST SIDE (79-96)  
19980,4,4,K4,10024,3,0,3,5000,13750,16000000,UPPER WEST SIDE (79-96)  
19983,4,4,K9,10024,2,0,2,3950,9900,25668750,UPPER WEST SIDE (79-96)  
19984,4,4,HR,10025,1,0,1,6025,25704,15000000,UPPER WEST SIDE (79-96)  
19989,4,4,W8,10024,2,0,2,6575,27044,28000000,UPPER WEST SIDE (79-96)  
19990,4,4,W7,10024,2,0,2,8071,33596,50000000,UPPER WEST SIDE (79-96)  
19996,1,1,C0,10025,3,3,0,2292,8007,10,UPPER WEST SIDE (96-116) 
19997,1,1,C0,10025,3,3,0,2292,8007,10,UPPER WEST SIDE (96-116) 
19998,1,1,C0,10025,3,3,0,2292,8007,10,UPPER WEST SIDE (96-116) 
20006,2,2,C4,10025,20,20,0,3785,12775,7800000,UPPER WEST SIDE (96-116) 
20007,2A,2,C5,10025,4,4,0,1716,5787,6250000,UPPER WEST SIDE (96-116) 
20008,2B,2,C1,10025,8,8,0,2018,7302,2925000,UPPER WEST SIDE (96-116) 
20009,2B,2,C1,10025,10,10,0,2018,8526,371316,UPPER WEST SIDE (96-116) 
20011,2B,2,C5,10025,10,10,0,2220,7029,7550000,UPPER WEST SIDE (96-116) 
20012,2B,2,C1,10025,9,9,0,1817,8405,2450000,UPPER WEST SIDE (96-116) 
20016,2,2,D1,10025,36,36,0,8880,37932,16200000,UPPER WEST SIDE (96-116) 
20017,2,2,D7,10025,39,38,1,10092,47832,37350000,UPPER WEST SIDE (96-116) 
20018,2,2,D1,10025,48,48,0,10092,42186,27500000,UPPER WEST SIDE (96-116) 
20019,2,2,D7,10025,30,28,2,7092,31644,24100000,UPPER WEST SIDE (96-116) 
20418,4,4,I9,10025,2,0,2,4390,14141,11750000,UPPER WEST SIDE (96-116) 
20421,1,1,A9,10032,1,1,0,799,1755,914500,WASHINGTON HEIGHTS LOWER 
20422,1,1,B2,10032,2,2,0,713,1500,1091500,WASHINGTON HEIGHTS LOWER 
20423,1,1,B1,10032,2,2,0,2081,3744,2377000,WASHINGTON HEIGHTS LOWER 
20424,1,1,S2,10032,3,2,1,2492,5560,1300000,WASHINGTON HEIGHTS LOWER 
20425,1,1,B1,10032,2,2,0,2000,3000,849000,WASHINGTON HEIGHTS LOWER 
20426,1,1,C0,10032,3,3,0,1900,3125,1650000,WASHINGTON HEIGHTS LOWER 
20427,1,1,C0,10032,3,3,0,1643,2052,843000,WASHINGTON HEIGHTS LOWER 
20428,1,1,C0,10033,3,3,0,1416,2592,995000,WASHINGTON HEIGHTS LOWER 
20431,2B,2,C1,10032,8,8,0,1168,3152,2060500,WASHINGTON HEIGHTS LOWER 
20432,2B,2,C1,10032,8,8,0,1168,3152,2000000,WASHINGTON HEIGHTS LOWER 
20433,2,2,C7,10032,30,25,5,4231,20051,5900000,WASHINGTON HEIGHTS LOWER 
20434,2,2,C7,10032,14,12,2,3400,17583,7850000,WASHINGTON HEIGHTS LOWER 
20436,2,2,C1,10032,30,30,0,5625,21708,5500000,WASHINGTON HEIGHTS LOWER 
20437,2,2,C4,10032,21,21,0,2645,9795,1462706,WASHINGTON HEIGHTS LOWER 
20438,2,2,C1,10032,21,21,0,4996,17670,10100000,WASHINGTON HEIGHTS LOWER 
20440,2,2,C4,10032,46,46,0,4996,19740,6000000,WASHINGTON HEIGHTS LOWER 
20442,2,2,C1,10032,30,30,0,4985,21450,13000000,WASHINGTON HEIGHTS LOWER 
20443,2,2,C1,10032,16,16,0,4163,14540,645000,WASHINGTON HEIGHTS LOWER 
20446,2,2,C1,10032,16,16,0,4163,14540,6450000,WASHINGTON HEIGHTS LOWER 
20447,2,2,C1,10032,25,25,0,4996,17905,3050000,WASHINGTON HEIGHTS LOWER 
20448,2,2,C1,10032,20,20,0,4163,14790,330000,WASHINGTON HEIGHTS LOWER 
20449,2,2,C1,10032,20,20,0,4163,14790,3300000,WASHINGTON HEIGHTS LOWER 
20450,2,2,C1,10032,24,24,0,4328,16182,4300000,WASHINGTON HEIGHTS LOWER 
20451,2,2,C1,10032,31,31,0,4996,20940,5400000,WASHINGTON HEIGHTS LOWER 
20452,2,2,C1,10032,24,24,0,4496,18810,525000,WASHINGTON HEIGHTS LOWER 
20453,2,2,C1,10032,24,24,0,4496,18810,5250000,WASHINGTON HEIGHTS LOWER 
20454,2B,2,C4,10032,8,8,0,1890,4739,109594,WASHINGTON HEIGHTS LOWER 
20455,2,2,C7,10032,13,12,1,3000,11355,2985000,WASHINGTON HEIGHTS LOWER 
20458,2,2,C7,10032,13,12,1,3000,11355,4950000,WASHINGTON HEIGHTS LOWER 
20461,2,2,C7,10032,16,14,2,2800,10602,6300000,WASHINGTON HEIGHTS LOWER 
20462,2,2,C1,10032,31,31,0,7994,28025,14000000,WASHINGTON HEIGHTS LOWER 
20464,2,2,C1,10032,22,22,0,3800,12800,6400000,WASHINGTON HEIGHTS LOWER 
20466,2A,2,C3,10032,4,4,0,1583,1998,900000,WASHINGTON HEIGHTS LOWER 
20467,2,2,C1,10032,24,24,0,4250,17754,3200000,WASHINGTON HEIGHTS LOWER 
20468,2,2,C7,10032,27,24,3,5375,22385,3800000,WASHINGTON HEIGHTS LOWER 
20470,2,2,C1,10032,25,25,0,5000,18005,3600000,WASHINGTON HEIGHTS LOWER 
20471,2B,2,C5,10032,7,7,0,1800,3882,1020000,WASHINGTON HEIGHTS LOWER 
20472,2,2,C7,10033,21,18,3,4400,15656,3465000,WASHINGTON HEIGHTS LOWER 
20474,2,2,C1,10033,25,25,0,4490,16165,52208,WASHINGTON HEIGHTS LOWER 
20475,2,2,C7,10033,26,21,5,4800,20170,5650000,WASHINGTON HEIGHTS LOWER 
20477,2,2,C1,10033,30,30,0,6531,21735,13000000,WASHINGTON HEIGHTS LOWER 
